date,issue,count
3-2012,D,1
3-2012,P,139
3-2012,G,14
3-2012,R,368
3-2012,C,2
4-2012,D,0
4-2012,P,66
4-2012,G,7
4-2012,R,177
4-2012,C,0
5-2012,D,0
5-2012,P,62
5-2012,G,3
5-2012,R,109
5-2012,C,0
6-2012,D,1
6-2012,P,146
6-2012,G,23
6-2012,R,400
6-2012,C,0
7-2012,D,0
7-2012,P,66
7-2012,G,6
7-2012,R,170
7-2012,C,0
8-2012,D,0
8-2012,P,69
8-2012,G,14
8-2012,R,135
8-2012,C,0
9-2012,D,0
9-2012,P,72
9-2012,G,8
9-2012,R,106
9-2012,C,0
10-2012,D,1
10-2012,P,89
10-2012,G,14
10-2012,R,162
10-2012,C,0
11-2012,D,0
11-2012,P,75
11-2012,G,7
11-2012,R,143
11-2012,C,0
12-2012,D,1
12-2012,P,56
12-2012,G,8
12-2012,R,122
12-2012,C,0
1-2013,D,0
1-2013,P,85
1-2013,G,15
1-2013,R,165
1-2013,C,0
2-2013,D,3
2-2013,P,73
2-2013,G,9
2-2013,R,149
2-2013,C,0
3-2013,D,0
3-2013,P,76
3-2013,G,3
3-2013,R,161
3-2013,C,0
4-2013,D,2
4-2013,P,63
4-2013,G,8
4-2013,R,163
4-2013,C,1
5-2013,D,1
5-2013,P,86
5-2013,G,10
5-2013,R,104
5-2013,C,0
6-2013,D,0
6-2013,P,70
6-2013,G,9
6-2013,R,104
6-2013,C,1
7-2013,D,0
7-2013,P,82
7-2013,G,12
7-2013,R,155
7-2013,C,0
8-2013,D,2
8-2013,P,74
8-2013,G,7
8-2013,R,177
8-2013,C,0
9-2013,D,1
9-2013,P,63
9-2013,G,6
9-2013,R,183
9-2013,C,0
10-2013,D,0
10-2013,P,67
10-2013,G,12
10-2013,R,231
10-2013,C,1
11-2013,D,1
11-2013,P,69
11-2013,G,5
11-2013,R,190
11-2013,C,3
12-2013,D,59
12-2013,P,50
12-2013,G,7
12-2013,R,149
12-2013,C,38
1-2014,D,187
1-2014,P,0
1-2014,G,6
1-2014,R,2
1-2014,C,159
2-2014,D,187
2-2014,P,1
2-2014,G,7
2-2014,R,1
2-2014,C,153
3-2014,D,208
3-2014,P,0
3-2014,G,7
3-2014,R,3
3-2014,C,185
4-2014,D,179
4-2014,P,0
4-2014,G,9
4-2014,R,0
4-2014,C,177
5-2014,D,184
5-2014,P,1
5-2014,G,4
5-2014,R,1
5-2014,C,157
6-2014,D,178
6-2014,P,0
6-2014,G,13
6-2014,R,0
6-2014,C,161
7-2014,D,192
7-2014,P,0
7-2014,G,2
7-2014,R,0
7-2014,C,162
8-2014,D,198
8-2014,P,0
8-2014,G,9
8-2014,R,0
8-2014,C,135
9-2014,D,189
9-2014,P,0
9-2014,G,20
9-2014,R,0
9-2014,C,155
10-2014,D,193
10-2014,P,0
10-2014,G,6
10-2014,R,0
10-2014,C,173
11-2014,D,179
11-2014,P,0
11-2014,G,7
11-2014,R,0
11-2014,C,155
12-2014,D,182
12-2014,P,0
12-2014,G,10
12-2014,R,1
12-2014,C,147
1-2015,D,205
1-2015,P,0
1-2015,G,12
1-2015,R,0
1-2015,C,137
2-2015,D,229
2-2015,P,0
2-2015,G,6
2-2015,R,0
2-2015,C,137
3-2015,D,277
3-2015,P,0
3-2015,G,12
3-2015,R,0
3-2015,C,143
4-2015,D,265
4-2015,P,0
4-2015,G,19
4-2015,R,0
4-2015,C,145
5-2015,D,242
5-2015,P,0
5-2015,G,13
5-2015,R,0
5-2015,C,129
6-2015,D,249
6-2015,P,0
6-2015,G,8
6-2015,R,0
6-2015,C,119
7-2015,D,231
7-2015,P,0
7-2015,G,11
7-2015,R,1
7-2015,C,168
8-2015,D,241
8-2015,P,0
8-2015,G,21
8-2015,R,0
8-2015,C,148
9-2015,D,260
9-2015,P,0
9-2015,G,12
9-2015,R,0
9-2015,C,127
10-2015,D,233
10-2015,P,0
10-2015,G,5
10-2015,R,0
10-2015,C,116
11-2015,D,170
11-2015,P,0
11-2015,G,9
11-2015,R,0
11-2015,C,107
12-2015,D,177
12-2015,P,0
12-2015,G,13
12-2015,R,0
12-2015,C,104
1-2016,D,220
1-2016,P,0
1-2016,G,13
1-2016,R,0
1-2016,C,100
2-2016,D,222
2-2016,P,0
2-2016,G,11
2-2016,R,0
2-2016,C,106
3-2016,D,244
3-2016,P,0
3-2016,G,7
3-2016,R,0
3-2016,C,108
4-2016,D,239
4-2016,P,0
4-2016,G,15
4-2016,R,0
4-2016,C,134
5-2016,D,12
5-2016,P,0
5-2016,G,0
5-2016,R,0
5-2016,C,2
